,,GENERAL,,,,,,,,REJECTED BALLOT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and waivers,,,PV rejection,,,,,,,,Misc.,,,Registrations,,,,,,,
County,District,Electorate ,Electorate minus uncontested divisions,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),No official mark,Voting for more candidates,Writing or mark by which the voter could be identified,Unmarked,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned as undelivered (up to 25th after date of Poll,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',1) Number of electors who appointed a proxy to vote on their behalf,2) Emergency proxies issued,3) How many waivers were granted for this election?,4.a) PV statement rejected (No signature),4.b) PV statement rejected (No DoB),4.c) PV statement rejected (Both),4.d) PV statement rejected (Mismatched signature),4.e) PV statement rejected (Mismatched DoB),4.f) PV statement rejected (Mismatched both),4.g) Ballot paper not returned,4.h) Postal voting statement unreturned,5) What was the total number of polling stations used?,6) No. of covering envelopes returned on polling day before 10pm,7) No. of covering envelopes returned on the day AFTER polling day before 10pm,8) Total number of new electors added 01/12/16 - 04/04/17,9) Total number of new electors added to the register via the second and final notices of alteration (26.04.17).,10) No. of applications to register after registration deadline,11) Total No. of applications between 22/11/16 - 24/03/17,12) Total No. of DUPLICATE applications between 22/11/15 - 24/03/17,13) Total No. of applications between 25/03/17 - 13/04/17,14) Total No. of DUPLICATE applications between 25/03/17 - 13/04/17,15) No. of people who tried to vote on polling day - not registered
Cumbria,Barrow In Furness,"53,012","53,012",14454,27.3%,"14,488",27.3%,"14,544",27.4%,0,18,6,10,0,34,"3,913",0,0,"3,913",33,"2,628",30,0,4,0,0,26,"1,225","3,913","2,628",13,42,"2,572",55,36,1,47,3,5,14,1,22,0,3,10,53,224,11,590,323,412,427,,229,,6
Cumbria,Carlisle,"78,054","78,054",28343,36.3%,"28,422",36.4%,"28,519",36.5%,0,31,4,44,0,79,"13,932",18,0,"13,950",10,"9,976",119,0,8,0,0,39,"4,032","14,174","9,976",0,97,"9,879",97,89,0,96,0,0,0,41,30,26,0,0,113,833,37,1800,868,1706,2715,788,1122,343,
Cumbria,Copeland,"53,206","53,206",17136,32.2%,"17,176",32.3%,"17,397",32.7%,0,9,1,30,0,40,"10,832",32,0,"10,862",27,"6,831",48,3,1,0,0,23,"3,959","10,865","6,811",92,109,"6,610",201,58,3,34,18,12,31,40,50,19,17,14,83,462,35,1082,443,456,1392,138,489,53,
Cumbria,Eden,"41,893","41,893",16511,39.4%,"16,552",39.5%,"16,646",39.7%,0,10,0,31,0,41,"6,319",2,0,"6,321",0,"4,018",18,7,1,0,0,5,"2,272","6,321","4,018",20,74,"3,924",94,63,0,12,15,9,6,36,24,4,6,5,89,4232,25,1160,25,354,1043,46,340,30,12
Cumbria,South Lakeland,"81,451","81,451",38257,47.0%,"38,311",47.0%,"38,499",47.3%,4,18,0,32,0,54,"18,002",11,0,"18,012",4,"13,447",176,1,9,0,0,74,"4,305","18,012","13,447",94,172,"13,259",188,125,3,51,8,4,3,88,71,12,13,71,91,1002,31,1756,1044,1328,2202,114,978,64,9
Derbyshire,Amber Valley,"94,710","94,710",36222,38.2%,"36,272",38.3%,"36,455",38.5%,0,17,0,33,0,50,"20,279",18,0,"20,297",85,"13,941",146,0,18,0,0,97,"6,095","20,297","13,941",53,130,"13,758",199,6,0,62,16,21,16,70,45,15,12,13,98,932,43,2057,1265,1098,1782,1714,841,30,17
Derbyshire,Bolsover,"59,122","59,122",15461,26.2%,"15,512",26.2%,"15,661",26.5%,0,17,1,30,3,51,"7,351",2,0,"7,353",5,"4,874",109,2,0,0,0,23,"2,343","7,351","4,874",27,54,"4,725",104,54,0,57,10,6,10,18,46,16,18,8,56,510,47,1479,723,715,2193,545,933,223,12
Derbyshire,Chesterfield,"79,568","79,568",26838,33.7%,"26,905",33.8%,"27,225",34.2%,0,15,3,49,0,67,"14,433",9,3,"14,445",63,"10,163",119,4,8,0,0,5,"4,146","14,445","10,163",67,66,"9,843",190,43,0,56,44,3,21,13,46,6,41,16,64,948,4,1973,742,1315,3166,961,1135,393,8
Derbyshire,Derbyshire Dales,"56,740","56,740",25023,44.1%,"25,078",44.2%,"25,269",44.5%,0,10,1,44,0,55,"10,543",6,0,"10,549",6,"7,630",41,1,5,0,0,22,"2,850","10,549","7,630",50,141,"7,439",191,85,2,33,7,10,33,82,57,2,15,22,92,367,5,726,655,479,921,442,685,87,10
Derbyshire,Erewash,"87,033","87,033",30248,34.8%,"30,296",34.8%,"30,630",35.2%,0,14,1,33,0,48,"15,963",28,24,"16,016",68,"11,397",91,0,0,17,0,39,"4,472","16,016","11,281",12,76,"11,063",99,120,0,129,5,7,0,20,41,0,35,64,58,277,24,1035,585,1228,1764,256,786,156,4
Derbyshire,High Peak,"71,846","71,846",27914,38.9%,"27,965",38.9%,"28,081",39.1%,0,8,5,38,0,51,"11,217",17,0,"11,234",1,"8,146",78,5,11,0,0,119,"2,875","11,234","8,146",62,55,"8,030",135,153,0,32,10,12,40,29,21,5,11,5,85,1741,0,1761,570,1560,2416,567,700,195,2
Derbyshire,North East Derbyshire,"78,414","78,414",26814,34.2%,"26,854",34.2%,"27,028",34.5%,0,3,2,35,0,40,"12,043",18,0,"12,060",14,"8,649",124,0,4,0,0,27,"3,256","12,060","8,649",39,48,"8,475",87,73,1,69,9,17,16,11,22,11,19,14,82,"8,649",51,1277,778,878,2179,500,916,177,6
Derbyshire,South Derbyshire,"75,553","75,553",23973,31.7%,"24,020",31.8%,"16,497",21.8%,0,14,0,33,0,47,"11,644",9,0,"11,653",2,"7,778",158,4,3,0,0,54,"3,631","11,628","7,778",14,156,"7,516",268,65,0,70,11,2,1,50,49,57,0,0,77,,,2662,561,1215,4597,1140,646,141,
Devon,East Devon,"118,202","118,202",41511,35.1%,"41,613",35.2%,"41,766",35.3%,0,33,5,64,0,102,"14,304",72,0,"14,365",92,"9,914",83,20,0,64,0,82,"4,202","14,365","9,887",9,153,"9,761",426,157,36,105,4,2,3,108,31,33,12,243,116,491,7,3297,1930,2268,5351,1175,2373,485,7
Devon,Exeter,"86,383","86,383",33908,39.3%,"33,991",39.3%,"34,300",39.7%,0,17,0,66,0,83,"13,973",10,0,"13,984",0,"10,308",152,9,0,0,0,50,"3,483","12,216","10,308",116,193,"9,999",309,80,2,96,8,2,3,73,93,14,31,0,63,1245,152,2904,1742,3860,4296,1234,1711,370,
Devon,Mid Devon,"60,909","60,909",22973,37.7%,"23,025",37.8%,"23,136",38.0%,0,21,1,30,0,52,"9,187",105,0,"9,292",98,"6,256",47,0,7,0,0,12,"2,970","9,292","6,256",79,28,"6,145",105,77,0,41,4,25,24,11,13,4,4,22,97,249,34,1867,905,741,1791,,532,,0
Devon,North Devon,"74,699","74,699",27629,37.0%,"27,684",37.1%,"28,612",38.3%,0,17,0,38,0,55,"11,183",25,0,"11,201",7,"7,850",82,2,16,0,0,46,"3,187","11,201","7,850",0,59,"7,707",143,90,2,85,0,0,0,23,31,5,0,0,94,231,48,1403,898,1423,2380,620,1042,211,2
Devon,South Hams,"67,412","67,412",26475,39.3%,"26,523",39.3%,"26,666",39.6%,0,7,0,41,0,48,"9,475",5,0,"9,480",3,"6,661",72,0,0,2,0,43,"2,702","9,480","6,577",8,61,"6,518",143,140,1,23,0,15,0,25,31,5,0,0,91,482,38,1234,879,1873,2140,518,999,176,11
Devon,Teignbridge,"103,252","103,252",40273,39.0%,"40,356",39.1%,"40,356",39.1%,0,33,0,50,0,83,"17,893",30,0,"17,923",16,"12,898",91,0,14,0,0,50,"4,854","17,907","12,898",0,213,"12,685",213,134,0,83,0,0,0,112,87,14,0,0,92,1704,91,3252,1391,2102,4832,1263,1557,240,33
Devon,Torridge,"52,409","52,409",19214,36.7%,"19,458",37.1%,"19,458",37.1%,0,19,0,25,0,44,"7,860",17,0,"7,877",1,"5,689",64,0,16,0,0,50,"2,058","7,877","5,689",65,58,"5,564",123,84,1,36,7,5,53,19,32,7,0,0,74,395,16,1415,444,970,2083,576,557,145,25
Devon,West Devon,"43,301","43,301",16912,39.1%,"16,945",39.1%,"17,049",39.4%,0,16,4,13,0,33,"6,863",8,0,"6,871",19,"4,854",39,3,5,0,0,32,"1,938","6,871","4,854",5,43,"4,750",99,111,1,41,3,2,0,16,23,4,7,11,67,618,33,744,532,926,1241,311,548,68,4
Dorset,Christchurch,"38,988","38,988",12835,32.9%,"12,911",33.1%,"12,911",33.1%,0,13,2,61,0,76,"6,300",10,0,"6,310",1,"4,239",40,0,9,0,0,21,"2,001","6,310","4,239",13,57,"4,155",80,0,0,39,9,1,3,18,30,9,8,2,25,NC,NC,654,305,613,891,180,370,69,
Dorset,East Dorset,"71,266","71,266",25729,36.1%,"25,774",36.2%,"25,774",36.2%,0,8,0,37,0,45,"11,474",21,0,"11,495",8,"8,112",109,0,13,0,0,49,"2,464","10,747","8,126",29,107,"7,930",196,80,0,67,12,1,16,27,54,26,55,5,51,NC,NC,977,524,1320,1445,347,543,91,
Dorset,North Dorset,"53,642","53,642",19988,37.3%,"20,029",37.3%,"20,132",37.5%,0,2,1,38,0,41,"7,991",2,0,"7,993",25,"5,558",20,4,0,0,0,17,"2,394","7,993","5,827",38,75,"5,455",113,73,0,32,2,2,4,33,20,15,3,1,68,308,20,1476,649,571,2620,255,1058,146,37
Dorset,Purbeck,"35,909","35,909",13837,38.5%,"14,563",40.6%,"14,596",40.6%,1,8,0,13,4,26,"5,022",9,18,"5,049",0,"3,762",9,3,6,18,0,3,"1,248","5,049","3,762",0,33,"3,729",33,85,8,253,4,9,0,10,7,2,0,0,47,48,2,475,408,672,735,168,420,66,2
