,GEOGCD_P,GEOGCD,GEOGNM,GEOGNM_P,SI_ID
1226,E05001679,E05011526,Beverley & Newland,Newland,1266/2017
1227,E05001666,E05011527,Boothferry,Boothferry,1266/2017
1228,E05001678,E05011527,Boothferry,Newington,1266/2017
1229,E05001681,E05011527,Boothferry,Pickering,1266/2017
1230,E05001669,E05011528,Bricknell,Bricknell,1266/2017
1231,E05001679,E05011528,Bricknell,Newland,1266/2017
1232,E05001664,E05011529,Central,Avenue,1266/2017
1233,E05001677,E05011529,Central,Myton,1266/2017
1234,E05001679,E05011529,Central,Newland,1266/2017
1235,E05001666,E05011530,Derringham,Boothferry,1266/2017
1236,E05001670,E05011530,Derringham,Derringham,1266/2017
1237,E05001671,E05011531,Drypool,Drypool,1266/2017
1238,E05001671,E05011532,Holderness,Drypool,1266/2017
1239,E05001672,E05011532,Holderness,Holderness,1266/2017
1240,E05001685,E05011533,Ings,Sutton,1266/2017
1241,E05001673,E05011533,Ings,Ings,1266/2017
1242,E05001676,E05011533,Ings,Marfleet,1266/2017
1243,E05001674,E05011534,Kingswood,Kings Park,1266/2017
1244,E05001675,E05011535,Longhill & Bilton Grange,Longhill,1266/2017
1245,E05001673,E05011535,Longhill & Bilton Grange,Ings,1266/2017
1246,E05001676,E05011536,Marfleet,Marfleet,1266/2017
1247,E05001683,E05011536,Marfleet,Southcoates East,1266/2017
1248,E05001678,E05011537,Newington & Gipsyville,Newington,1266/2017
1249,E05001681,E05011537,Newington & Gipsyville,Pickering,1266/2017
1250,E05001682,E05011537,Newington & Gipsyville,St Andrew's,1266/2017
1251,E05001674,E05011538,North Carr,Kings Park,1266/2017
1252,E05001667,E05011538,North Carr,Bransholme East,1266/2017
1253,E05001668,E05011538,North Carr,Bransholme West,1266/2017
1254,E05001686,E05011539,Orchard Park,University,1266/2017
1255,E05001665,E05011539,Orchard Park,Beverley,1266/2017
1256,E05001680,E05011539,Orchard Park,Orchard Park and Greenwood,1266/2017
1257,E05001681,E05011540,Pickering,Pickering,1266/2017
1258,E05001677,E05011541,St Andrew's & Docklands,Myton,1266/2017
1259,E05001682,E05011541,St Andrew's & Docklands,St Andrew's,1266/2017
1260,E05001684,E05011542,Southcoates,Southcoates West,1266/2017
1261,E05001676,E05011542,Southcoates,Marfleet,1266/2017
1262,E05001683,E05011542,Southcoates,Southcoates East,1266/2017
1263,E05001685,E05011543,Sutton,Sutton,1266/2017
1264,E05001673,E05011543,Sutton,Ings,1266/2017
1265,E05001672,E05011543,Sutton,Holderness,1266/2017
1266,E05001668,E05011543,Sutton,Bransholme West,1266/2017
1267,E05001680,E05011544,University,Orchard Park and Greenwood,1266/2017
1268,E05001686,E05011544,University,University,1266/2017
1269,E05001668,E05011545,West Carr,Bransholme West,1266/2017
1270,E05001674,E05011545,West Carr,Kings Park,1266/2017
1271,E05001685,E05011545,West Carr,Sutton,1266/2017
1272,E05011401,E05011546,Garforth & Swillington,Kippax & Methley,270/2018
1273,E05011393,E05011546,Garforth & Swillington,Garforth & Swillington,270/2018
1274,E05011398,E05011547,Horsforth,Horsforth,270/2018
1275,E05011401,E05011548,Kippax & Methley,Kippax & Methley,270/2018
1276,E05011393,E05011548,Kippax & Methley,Garforth & Swillington,270/2018
1277,E05011398,E05011549,Otley & Yeadon,Horsforth,270/2018
1278,E05011408,E05011549,Otley & Yeadon,Otley & Yeadon,270/2018
1279,E05011393,E05011550,Rothwell,Garforth & Swillington,270/2018
1280,E05011410,E05011550,Rothwell,Rothwell,270/2018
1281,E05011412,E05011551,Temple Newsam,Temple Newsam,270/2018
1282,E05011393,E05011551,Temple Newsam,Garforth & Swillington,270/2018
